proj_id,display_name,policy_desc,aum,aum_year_ago,class_count,aum_growth_rate
M0626_2567,X-PEGINFRA-UI,ทรัพย์สินทางเลือก,235505310.22,54310056.32,1,3.336311287036426
M0627_2558,KT-HEALTHC RMF,ตราสารทุน,1072802339.22,829632310.3,1,0.29310578421429656
M0627_2563,BCAP-XHEALTH,ตราสารทุน,444299235.3,434099494.16,1,0.023496321182628677
M0628_2559,TLMMRMF,ตราสารหนี้,100391304.64,88307580.83,1,0.13683676640697762
M0628_2563,UCHI,ตราสารทุน,957013078.95,567320825.15,1,0.6868992579233544
M0628_2569,M-SEMI,ตราสารทุน,124049012.98,0.0,1,
M0629_2560,ASP-VIET,ตราสารทุน,1249121661.17,1724253813.83,2,-0.27555812772402244
M0629_2569,KT-BAI,ตราสารทุน,62328839.88,0.0,1,
M0630_2558,UGD,ตราสารทุน,1071292871.57,1455398230.98,1,-0.2639177039203632
M0630_2566,MUBONDUH,ตราสารหนี้,289102132.97,835735787.5,3,-0.6540747239808729
M0630_2567,PRINCIPAL GIFUH,ตราสารทุน,484939258.11999995,893705441.2600001,7,-0.45738356763689036
M0631_2562,K-AHYA-UI,ตราสารหนี้,920921390.47,1143249868.5,1,-0.19447059138673317
M0632_2566,KT-US RMF,ตราสารทุน,162827678.14,131759089.39,1,0.2357984477111752
M0633_2546,FLEX-RMF,ผสม,189439286.65,165299324.79,1,0.14603787335893825
M0633_2551,MM-GOV,ตราสารหนี้,3857220728.1600003,2378633794.09,3,0.6216118419505037
M0633_2566,KT-GESG RMF,ตราสารทุน,15496938.56,0.0,1,
M0634_2556,KT-FLEX,ผสม,454145150.21,254929965.96,1,0.7814506368437597
M0634_2569,SCBSB6M90,ตราสารหนี้,1768812352.25,0.0,1,
M0636_2567,KT-GPEQ-UI,ทรัพย์สินทางเลือก,293393150.74,189066990.68,1,0.5517946823228086
M0637_2559,ONE-UGERMF,ตราสารทุน,1699898415.09,2048840506.56,2,-0.1703119839503141
M0638_2547,ES-JBPDIV,ผสม,1275422747.1,0.0,1,
M0638_2560,ONE-TOP5M,ผสม,28283695.31,22020174.72,1,0.2844446363230311
M0639_2558,K-GHEALTH(UH),ตราสารทุน,937538980.92,743369358.74,1,0.26120207928547745
M0639_2569,SCBSB3M102,ตราสารหนี้,1702158560.95,0.0,1,
M0640_2566,SCBDBOND,ตราสารหนี้,90286607310.35,235301629102.75,5,-0.6162941682357659
M0641_2558,SCBUSSMFUND,ตราสารทุน,368236230.07,2760166656.96,5,-0.866589131804248
M0641_2562,DAOL-USREIT,ทรัพย์สินทางเลือก,45690147.1,61153879.06,1,-0.25286592114341666
M0641_2569,TLCHINAROBOT,ตราสารทุน,52280821.73,0.0,1,
M0642_2558,KT-INDIA,ตราสารทุน,5441606702.9800005,6871465798.099999,6,-0.20808647487052379
M0642_2569,KTGOV3M3S,ตราสารหนี้,2739857794.72,0.0,1,
M0643_2555,SCBS&P500FUND,ตราสารทุน,47838226032.65,19990361140.6,9,1.3930646223039753
M0643_2562,KFENFIX,ตราสารหนี้,4180865016.72,5644931975.06,1,-0.25935953963810854
M0643_2569,DAOL-AIINFRA,ตราสารทุน,74830643.5,0.0,1,
M0644_2553,UOBSDF,ตราสารทุน,231571371.1,168959463.06,1,0.3705735500459395
M0644_2557,UGH-M,ตราสารทุน,217203498.46,211548794.92,2,0.026730020098381768
M0645_2558,KKP GNP FUND,ตราสารทุน,6742761877.16,6155849884.610001,4,0.09534215478797092
M0647_2551,KTSIV3M1,ตราสารหนี้,24795977.41,28700117.67,1,-0.1360322039404378
M0647_2552,I-10,ผสม,6162191.95,6560337.29,1,-0.06068976676045268
M0647_2567,MSI40AI,ตราสารหนี้,381168733.93,384741623.98,1,-0.009286466104290625
M0647_2568,LHNUKZ,ตราสารทุน,433065139.39000005,0.0,3,
M0648_2552,TAPRMF,ตราสารทุน,60287587.3,47481286.38,1,0.2697125940841032
M0648_2560,ES-EAERMF,ตราสารทุน,113863131.19,55210763.49,1,1.0623357474602457
M0648_2569,K-GB6MDG,ตราสารหนี้,2171870664.7,0.0,1,
M0649_2551,KTSIV6M1,ตราสารหนี้,8194595.13,7935981.22,1,0.03258751537216975
M0650_2553,KT-GOLD,ทรัพย์สินทางเลือก,2282373580.22,1883544539.93,1,0.21174388597405924
M0650_2560,ES-GPROPRMF,ทรัพย์สินทางเลือก,44781726.4,44958156.17,1,-0.003924310626371552
M0650_2567,BCAP-SET RMF,ตราสารทุน,12803198.59,6778839.86,1,0.8887005526635938
M0651_2560,B-CHINE-EQ,ตราสารทุน,5297999401.0,5654097357.09,1,-0.06298051370542257
M0651_2566,ASP-USSMALL,ตราสารทุน,311143556.15,722601752.6,2,-0.5694121208113992
M0651_2568,BCAP-EESPE UI,ทรัพย์สินทางเลือก,1143243014.27,0.0,1,
M0652_2551,I-GOLD,ทรัพย์สินทางเลือก,1594163576.56,526178419.69,2,2.0297015554138604
M0652_2553,KT-GOLD RMF,ทรัพย์สินทางเลือก,1512248573.28,904686342.57,1,0.6715722368307886
M0653_2547,ES-EQDIV,ตราสารทุน,870599636.94,0.0,1,
M0653_2554,PRINCIPAL APDI,ตราสารทุน,1282249277.3999999,1823577106.26,7,-0.29684943236111194
M0653_2559,KTSET50RMF,ตราสารทุน,1192043572.18,944946651.17,1,0.2614929855606698
M0654_2551,I-OIL,ทรัพย์สินทางเลือก,84234901.87,61415108.88,1,0.3715664338328859
M0654_2557,UOBSHC-M,ตราสารทุน,1553563784.9499998,1860068669.34,2,-0.1647814886849075
M0656_2547,ES-BIGCAPEQ,ตราสารทุน,812011032.78,0.0,1,
M0658_2556,KT-HiDiv,ตราสารทุน,7449408941.139999,4081564473.2099996,6,0.8251356777616488
M0658_2560,LHROBOTE,ตราสารทุน,128303949.55999999,143799200.16,3,-0.10775616681288225
M0659_2547,ES-MIXEDRMF,ผสม,1148873748.75,1039446022.83,1,0.10527504412597732
M0659_2553,K-GEMO,ผสม,1143211514.37,633769613.06,1,0.8038282221362518
M0659_2567,KTWC-MODERATE RMF,ผสม,679657991.26,280685295.49,1,1.4214235735915643
M0659_2569,SCBSB17M1,ตราสารหนี้,165663963.54,0.0,1,
M0660_2566,M-MIX20,ผสม,9162270.02,7604256.31,1,0.20488705883718428
M0660_2568,TGSMART,ผสม,7499929981.190001,1051076418.0,2,6.1354754542595025
M0661_2568,DAOL-WGG,ตราสารทุน,31490423.73,96430000.28,1,-0.6734374817114748
M0661_2569,SCBSB6M91,ตราสารหนี้,1005205747.18,0.0,1,
M0662_2560,SCBINC,ผสม,6268758359.5,2753510494.39,4,1.2766422616772166
M0662_2569,M-GPLUS1Y2,ตราสารหนี้,31055839.86,0.0,1,
M0663_2557,B-ASIA,ตราสารทุน,6188221533.64,4656642518.97,1,0.3289019950384271
M0663_2569,KTGOV3M4S,ตราสารหนี้,3154292250.57,0.0,1,
M0664_2557,K-PROPI,ผสม,22279947143.31,26366141628.629997,3,-0.15497885670472733
M0664_2560,ONE-GLOBFIN,ตราสารทุน,242106969.14000002,220011404.39000002,4,0.10042917916578831
M0664_2569,SCBSB3M103,ตราสารหนี้,1805471807.84,0.0,1,
M0665_2546,KFMTFI,ตราสารหนี้,1597668136.87,1996586797.23,1,-0.19980030966519813
M0665_2568,AIA-GMA-UH,ผสม,238160576.5,0.0,1,
M0666_2562,BPLUS-M,ผสม,218909350.85,456980788.47,2,-0.5209659653682115
M0666_2566,M-MIX50,ผสม,7101501.79,3189586.25,1,1.2264648870993846
M0666_2569,TSEMICON,ตราสารทุน,67468210.0,0.0,1,
M0667_2559,B-INNOTECH,ตราสารทุน,15181068968.13,10245895431.02,1,0.48167322908337473
M0668_2551,PRINCIPAL FI,ตราสารหนี้,3188904889.94,3953187126.08,1,-0.19333317947381512
