nav_date,M0155_2547,M0209_2548
2023-07-03,21.3647,32.6155
2023-07-04,21.5,32.8201
2023-07-05,21.4552,32.7568
2023-07-06,21.185,32.3417
2023-07-07,21.177,32.3368
2023-07-10,21.2978,32.5263
2023-07-11,21.3321,32.5789
2023-07-12,21.3188,32.555
2023-07-13,21.339,32.5959
2023-07-14,21.7046,33.157
2023-07-17,21.814,33.3205
2023-07-18,21.9532,33.5401
2023-07-19,21.9367,33.5127
2023-07-20,21.7217,33.186
2023-07-21,21.8712,33.414
2023-07-24,21.8358,33.3699
2023-07-25,21.8814,33.4428
2023-07-26,21.871,33.4227
2023-07-27,22.1482,33.8449
2023-07-31,22.3399,34.1447
2023-08-02,22.2629,34.0319
2023-08-03,21.9101,33.4935
2023-08-04,21.9309,33.527
2023-08-07,22.01,33.6493
2023-08-08,21.7805,33.302
2023-08-09,21.9301,33.5177
2023-08-10,22.0032,33.6248
2023-08-11,22.007,33.6283
2023-08-15,21.7731,33.2671
2023-08-16,21.7525,33.235
2023-08-17,21.8756,33.4243
2023-08-18,21.7272,33.1871
2023-08-21,21.8489,33.3753
2023-08-22,22.1357,33.8169
2023-08-23,22.1547,33.837
2023-08-24,22.2812,34.0445
2023-08-25,22.2854,34.0484
2023-08-28,22.2939,34.0614
2023-08-29,22.3539,34.1559
2023-08-30,22.4268,34.2689
2023-08-31,22.2112,33.9382
2023-09-01,22.2077,33.9349
2023-09-04,22.0089,33.6331
2023-09-05,21.9762,33.5837
2023-09-06,22.0311,33.6666
2023-09-07,22.0381,33.6753
2023-09-08,21.9707,33.571
2023-09-11,21.8766,33.4246
2023-09-12,21.9732,33.5819
2023-09-13,21.8905,33.4513
2023-09-14,22.0316,33.6705
2023-09-15,22.0003,33.6232
2023-09-18,21.7962,33.3091
2023-09-19,21.7108,33.1803
2023-09-20,21.4949,32.849
2023-09-21,21.5754,32.9673
2023-09-22,21.7128,33.1844
2023-09-25,21.4775,32.8228
2023-09-26,21.3356,32.6068
2023-09-27,21.3923,32.6895
2023-09-28,21.1625,32.3408
2023-09-29,20.9419,31.9658
2023-10-02,20.9798,32.0273
2023-10-03,20.6269,31.482
2023-10-04,20.6803,31.5639
2023-10-05,20.7173,31.6202
2023-10-06,20.4667,31.2315
2023-10-09,20.4159,31.1548
2023-10-10,20.4922,31.2792
2023-10-11,20.8497,31.8287
2023-10-12,20.7745,31.7115
2023-10-16,20.456,31.2275
2023-10-17,20.558,31.3804
2023-10-18,20.7266,31.6394
2023-10-19,20.4864,31.273
2023-10-20,20.1618,30.7757
2023-10-24,20.0234,30.563
2023-10-25,20.1865,30.8127
2023-10-26,19.7748,30.1706
2023-10-27,20.0562,30.6082
2023-10-30,20.2014,30.8371
2023-10-31,19.9876,30.5086
2023-11-01,19.9533,30.4558
2023-11-02,20.2809,30.9565
2023-11-03,20.5015,31.294
2023-11-06,20.4441,31.2076
2023-11-07,20.3327,31.037
2023-11-08,20.3531,31.0664
2023-11-09,20.3016,30.9896
2023-11-10,20.0816,30.6435
2023-11-13,20.1,30.6741
2023-11-14,20.0833,30.6496
2023-11-15,20.4958,31.2919
2023-11-16,20.4993,31.2961
2023-11-17,20.4509,31.216
2023-11-20,20.5069,31.3026
2023-11-21,20.5551,31.381
2023-11-22,20.3969,31.1393
2023-11-23,20.2318,30.8923
2023-11-24,20.1207,30.7214
2023-11-27,20.0697,30.6462
2023-11-28,20.1983,30.8447
2023-11-29,20.0033,30.5482
2023-11-30,19.888,30.3721
2023-12-01,19.8877,30.3711
2023-12-04,19.9519,30.4671
2023-12-06,19.9909,30.5279
2023-12-07,19.8201,30.264
2023-12-08,19.8879,30.3722
2023-12-12,19.8351,30.2939
2023-12-13,19.6194,29.9622
2023-12-14,19.9322,30.4438
2023-12-15,20.1398,30.7559
2023-12-18,20.1708,30.807
2023-12-19,20.2089,30.8713
2023-12-20,20.2615,30.9515
2023-12-21,20.2975,31.0065
2023-12-22,20.3119,31.029
2023-12-25,20.3794,31.1332
2023-12-26,20.4453,31.232
2023-12-27,20.366,31.1088
2023-12-28,20.4005,31.1594
2024-01-02,20.6135,31.4955
2024-01-03,20.5158,31.3452
2024-01-04,20.5369,31.3745
2024-01-05,20.3831,31.1392
2024-01-08,20.2431,30.9254
2024-01-09,20.2211,30.8932
2024-01-10,20.199,30.8592
2024-01-11,20.1268,30.7482
2024-01-12,20.1668,30.8091
2024-01-15,20.0509,30.6311
2024-01-16,19.9678,30.5043
2024-01-17,19.6556,30.0263
2024-01-18,19.5901,29.928
2024-01-19,19.6957,30.0894
2024-01-22,19.4928,29.7801
2024-01-23,19.3487,29.5613
2024-01-24,19.7116,30.1143
2024-01-25,19.6224,29.9769
2024-01-26,19.4954,29.7843
2024-01-29,19.6007,29.9399
